[2018-08-14T14:30:24.834309-03:00] System.ERROR: Undefined variable: loggedUser {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\configs.php","Line":12} []
[2018-08-14T14:31:00.976587-03:00] System.ERROR: Undefined index: id {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\messages.php","Line":15} []
[2018-08-14T14:31:00.983380-03:00] System.ERROR: Undefined index: id {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\messages.php","Line":20} []
[2018-08-14T14:31:11.437293-03:00] System.ERROR: Undefined offset: 0 {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\app\\controller\\ChatController.php","Line":15} []
[2018-08-14T14:31:11.449187-03:00] System.ERROR: Undefined offset: 0 {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\app\\controller\\ChatController.php","Line":15} []
[2018-08-14T17:03:54.073541-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:04:00.971316-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:04:20.242569-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:04:41.140404-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:04:45.602049-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:05:15.430332-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:05:34.708092-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:05:34.794379-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:05:39.360283-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:05:39.425096-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:05:53.962800-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:05:53.998204-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:06:29.590198-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:06:29.678848-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:07:12.482482-03:00] System.ERROR: Undefined index: idcidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:07:12.559169-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:07:42.343465-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:07:44.338191-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:07:52.034564-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
[2018-08-14T17:09:51.248570-03:00] System.ERROR: Undefined variable: cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\test.php","Line":7} []
[2018-08-14T17:10:02.581994-03:00] System.ERROR: Undefined index: id_cidade {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\vendor\\illuminate\\support\\Collection.php","Line":1838} []
