[2018-08-16T15:30:48.933196-03:00] System.ERROR: Undefined offset: 0 {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\app\\controller\\AnuncioController.php","Line":37} []
[2018-08-16T17:22:32.977976-03:00] System.ERROR: Undefined variable: ligacoes {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":73} []
[2018-08-16T17:22:37.990075-03:00] System.ERROR: Undefined variable: ligacoes {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":73} []
[2018-08-16T17:26:19.037612-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:26:21.056350-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:26:22.477463-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:26:45.137249-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:26:47.793908-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:26:48.298009-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:26:49.612672-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:26:50.070492-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:28:42.079784-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:28:42.183756-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:29:01.733633-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:29:01.760253-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:29:09.376413-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:29:09.399039-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:29:26.612014-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:29:26.636735-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:29:26.658467-03:00] System.ERROR: Undefined variable: campo {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:29:37.839057-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:29:37.861415-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:29:54.563013-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:29:54.589452-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:30:33.465002-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:30:33.488409-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:30:42.945965-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:30:42.978931-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:30:42.995713-03:00] System.ERROR: Invalid argument supplied for foreach() {"Code":2,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":335} []
[2018-08-16T17:30:47.336693-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:30:47.367901-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:30:47.384115-03:00] System.ERROR: Invalid argument supplied for foreach() {"Code":2,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":335} []
[2018-08-16T17:30:54.424879-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
[2018-08-16T17:30:54.453020-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":324} []
[2018-08-16T17:30:54.477449-03:00] System.ERROR: Invalid argument supplied for foreach() {"Code":2,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":336} []
[2018-08-16T17:30:59.610275-03:00] System.ERROR: Use of undefined constant id_usuario - assumed 'id_usuario' {"Code":8,"File":"C:\\xampp\\htdocs\\Facilite\\resources\\view\\profile.php","Line":69} []
